word	known(y/n)
危ない	
マン-man	
考える	
為	
呼ぶ	
サラリーマン-salaryman	
工場	
相槌	
態と	
わんわん	
犬	
学習	
ニュージーランド-New Zealand	
中国	
韓国	
上手	
さようなら	
中級	
カゴシマ	
ホッカイドウ	
ハワイ-Hawaii	
アフリカ-Africa	
都市	
12	
夜中	
狡い	
彼の	
仕様	
教える	
手	
ジャンル-genre	
タイプ-type	
ミュージック-music	
作曲	
ウタダ	
ヒカリ	
空揚げ	
臭い	
カロリー-calorie	
クリスピー-crispy	
別	
丁度	
バイ-bye	
カフェオレ-cafe au lait	
喫茶	
得意	
練習	
怖い	
ポケモン	
クレヨン-crayon	
シン	
両方	
トトロ	
最初	
存知	
物の怪	
溜める	
生徒	
亡くなる	
死ぬ	
オオイタ	
水	
ビジネス-business	
客	
可愛い	
為さる	
正月	
語	
40	
昼御飯	
泊まる	
コンテッペイ	
ロマンチック-romantic	
団体	
大体	
カンボジア-Cambodia	
ベトナム-Viet Nam	
タイ-tie	
掛ける	
学生	
オレゴン-Oregon	
州	
東南	
初めまして	
歩く	
音	
ポルターガイスト-Poltergeist	
芸能	
シリアル-serial	
マガジン-magazine	
円-助数詞	
ジャンプ-jump	
サラダ-salad	
味噌	
汁	
葱	
若布	
家事	
石	
一石	
鳥	
チャージ-charge	
休む	
美しい	
コンディショナー-conditioner	
消す	
ボタン-button	
形	
無理	
書く	
14	
独り暮らし	
醤油	
垂らす	
理由	
スーパー-super	
高校	
シエスタ-siesta	
来年	
開く	
集まる	
サポーター-supporter	
イベント-event	
冗談	
怪しい	
博士	
課程	
魚屋	
八百屋	
消防	
救急	
公務	
ワーカー-worker	
大工	
建設	
漁師	
作業	
エンジニア-engineer	
IT	
プログラマー-programmer	
運動	
怠い	
モスクワ-Moskva	
へえ	
輪尾	
実際	
パト-patrol	
レオン	
スポンサー-sponsor	
一杯	
マリア-Maria	
スコットランド-Scotland	
スウェーデン-Sweden	
新しい	
コンテペイフォービギナー	
期間	
八	
持つ	
発音	
ホンコン	
シンガポール-Singapore	
ソウル	
バルセロナ-Barcelona	
フクオカ	
パンケーキ-pancake	
メキシコ-Mexico	
午前	
ラッキー-lucky	
習う	
youtube	
忘れる	
アーノルドシュワルツネッガー	
ターミネーター	
シュワ-外国	
アーノルド-Arnold	
シュワルツネッガー-外国	
名	
ケンドリックラマー	
ビヨンセ-Beyonce	
R	
B	
forbeginners	
曇る	
マイク-microphon	
クラシカル-classical	
テーク-take	
ザット-that	
アイドル-idol	
ユニコーン-unicorn	
パンク-punk	
和食	
豚カツ	
納豆	
健康	
カルボナーラ-carbonara	
アルコール-alcohol	
テキーラ-tequila	
程々	
金曜	
マンモス-mammoth	
正しい	
縞	
種類	
イタリア-Italia語	
ドリップ-drip	
古い	
スターバ	
実	
嬉しい	
ノンフィクション-nonfiction	
フィッツジェラルド-Fitzgerald	
グレート-great	
ギャツビー-外国	
翻訳	
リュウ	
詰まる	
ワン-one	
ピース-piece	
エピソード-episode	
能力	
スキル-skill	
ジェネレーション-generation	
カメハメハ-Kamehameha	
カー-car	
ジョジョ-外国	
世代	
スタジオ-studio	
ミヤザキ	
シュン	
魔女	
宅	
急便	
姫	
奴	
現実	
アドベンチャー-adventure	
リアリスティック-realistic	
ええ	
下りる	
確か	
地	
カズン-cousin	
ベップ	
夕	
ビル-building	
和室	
スタッフ-staff	
雰囲気	
葵	
女の子	
ニース-Nice	
妹	
奥	
in	
law	
テーマ-theme	
母国	
問題	
カオサン	
ロード-road	
デビュー-debut	
テレレッテッテッテッテー	
フレッシュ-fresh	
ニュアンス-nuance	
国内	
髪	
思い出	
ワイルド-wild	
モッツァレラ-mozzarella	
魚	
リング-ring	
インド-India	
半球	
逆	
ビーチ-beach	
サーフィン-surfing	
アイス-ice	
乾かす	
スーパーマーケット-supermarket	
全然	
全く	
インターネット-internet	
サイト-site	
経済	
美術	
シリアス-serious	
Kindle	
焼く	
ハウス-house	
ワーク-work	
電話	
起きる	
メロディー-melody	
乗る	
歯	
戻る	
快適	
動詞	
薬	
レッスン-lesson	
次	
上達	
聞こえる	
エレキ-electriciteit	
25	
38	
そう-伝聞	
サックス-sax	
バス-bus	
ソープ-soap	
最後	
エッグ-egg	
卵焼き	
交ぜる	
印象	
クオリティー-quality	
御腹	
終わり	
得る	
昼寝	
田舎	
大きな	
シーリング-ceiling	
意外	
2020	
久しい	
チケット-ticket	
楽しみ	
一応	
ツー-two	
語学	
examplesentences	
同時	
恋人	
マスター-master	
チューター-tutor	
レジ-register	
肉屋	
野菜	
売る	
ファイア-fire	
ファイター-fighter	
シビル-civil	
市	
役所	
インフォーマル-informal	
L	
コンストラクション-construction	
整備	
人事	
リフレッシュ-refresh	
サッカー-soccer	
ゲーム-game	
バンド-band（団）	
趣味	
流れ	
想像	
いらっしゃる	
ミッション-mission	
トム-Thom	
クルーズ-cruise	
アド-address	
バー-bar	
タイズ	
募集	
欲しい	
ドル-dollar	
ページ-page	
猫	
カルロス-Carlos	
マイケル-Michael	
キム	
スミス-Smith	
何人	
フランス-France	
コンテッペイフォービギナー	
ビギナーコンテッペイ	
ポッドキャストビギナーコンテッペイ	
四	
五	
六	
リピート-repeat	
フォー-four	
コンテッペインターメディ	
初級	
シドニー-Sydney	
メルボルン-Melbourne	
パース-purse	
ウェリントン-Wellington	
ペキン	
ストックホルム-Stockholm	
キョウト	
仮名	
ハワイアン-Hawaiian	
ポーランド-Poland	
バイバイバイバイ	
アーリー-early	
イブニング-evening	
ミッドナイト-midnight	
ブラジル-Brazil	
カンサイ	
わあい	
ダイアレクト-dialect	
幾	
優しい	
タイワン	
ジェラス	
ジェラシー-jealousy	
鰐	
蟹	
com	
google	
サトウ	
タナカ	
ハシモト	
タカハシ	
ストップ-stop	
チャオチャオアスタルエゴ	
Yourname	
ノーマル-normal	
クラウディ	
当たる	
genre	
BR	
モーツァルト-Mozart	
モーツァルトベートーベンバッハ	
コンポーザー-composer	
マイルス-Miles	
デイビース	
ジョン-John	
コルトレーン-Coltrane	
ミュージシャン-musician	
バック-back	
ストリート-street	
ボーイ-boy	
シンガー-singer	
スピッツ-Spitz	
ラモンズ	
セックス-sex	
ピストル-pistol	
夜御飯	
ヌードル-noodle	
焼き蕎麦	
天麩羅	
豚肉	
鶏	
ベジタリアン-vegetarian	
ヘルシー-healthy	
ワァァァァ	
ラップ-wrap	
コント-conte	
マテ-mate	
ハモン-Jamon	
フレーズ-phrase	
ワイン-wine	
ウォッカ-vodka	
ウィー-we	
隙	
ブラック-black	
ミルク-milk	
牛乳	
マッキ	
式	
フラペチーノ-frappuccino	
ナーバス-nervous	
ノンカフェインノンカフェイン	
緑茶	
グリーン-green	
ティー-tea	
強い	
シリーズ-series	
スコットフィッツジェラルドグレートギャツビー	
トランスレーション-translation	
レオナルド-Leonard	
ディカプリオ-外国	
スコット-Scott	
めえ	
ドア-door	
茸	
コプター-copter	
ネーティブ	
asyouknow	
ムービー-movie	
ディレクター-director	
第	
レクター-外国	
キキズデリバリーサービス	
ナウ-now	
鹿	
ラピュタ	
プリンス-prince	
オブ-of	
ポニョ	
ポニョポニョポニョ	
ABCDE	
good	
少年	
キャラクター-character	
近い	
そう-様態	
ブレーク-break	
台風	
質問	
受ける	
薄い	
ダウン-down	
ジャケット-jacket	
詳しい	
撥ねる	
ニイガタ	
フクシマ	
アキタ	
生まれ	
育ち	
んっ	
否	
甥っ子	
県	
地下	
ぶうぶう	
通常	
畳	
室	
サイズ-size	
その	
ホスピタリティー-hospitality	
ケア-care	
宿泊	
カスタマー-customer	
おい	
細い	
男の子	
姪	
御免	
ネフィ-外国	
レラティブス	
TOTR	
プリモ-primo	
遊ぶ	
連絡	
ニュー-new	
イヤー-year	
妻	
旦那	
弟妹	
ぺら	
日常	
アカデミック-academic	
内容	
ディベート-debate	
箇国	
フランス-France語	
ドイツ-Duits語	
タイトル-title	
タイランド-Thailand	
タイ-Thailand語	
ソウル-soul	
マドリード-Madrid	
ゲストハウス	
オープニング-opening	
テレレッテッテッテッテーオープニング	
迚も	
すっきり	
ジャーニー-journey	
トリップ-trip	
トラベル-travel	
比べる	
島	
ドメスティック-domestic	
エージェント-agent	
エージェンス	
回る	
エクスチェンジ-exchange	
シューティング-shooting	
ポートランド	
バイタリティー-vitality	
ファッション-fashion	
まずまず	
ユニーク-unique	
個性	
出会う	
はっきり	
宿	
コンテップ	
居酒屋	
好く	
コンビネーション-combination	
トマト-tomato	
オリーブ-olive	
オイル-oil	
ガーリック-garlic	
混ざる	
素材	
チーズ-cheese	
コリアン-Korean	
バジル-basil	
バーガー-burger	
オニオン-onion	
中華	
近く	
ウクライナ-Ukraina	
行成	
ナンベイ	
チリ-Chile	
地球	
南側	
南アフリカ	
キタ	
含める	
春	
季節	
アクティビティー-activity	
後ろ髪	
ヘア-hair	
ドライヤー-drier	
BBC	
チャンネル-channel	
動物	
歴史	
電車	
職場	
ゼロ-zero	
ポリティック-politic	
エコノミー-economy	
セレブリティー-celebrity	
ゴシップ-gossip	
アーティクト	
カルチャー-culture	
ミュージアム-museum	
図書	
1000	
1500	
500	
コミック-comic	
買う	
パエーリャ-paella	
量	
油	
クリーニング-cleaning	
寧ろ	
ストーン-stone	
落とす	
倒す	
Onestonekillstwobirds	
ガーデン-garden	
1010	
77	
足りる	
眠り	
過ごす	
携帯	
スマート-smart	
フォン-fond	
バッテリー-battery	
充電	
エネルギー-energy	
疲れ	
バイバイアスタルウェーブ	
静か	
でん	
テースト-taste	
テーテーレテーレ	
喉	
痛い	
辛い	
村	
フー-who	
説明	
買い物	
タバコ-tabaco	
オリジナル-original	
セオリー-theory	
効果	
必要	
エッセンシャル-essential	
オプショナル-optional	
エレクトリック-electric	
丸で	
下手	
パッション-passion	
エモーション-emotion	
テクニカル-technical 	
プレー-play	
ピアノ-piano	
ベース-base	
ドラム-drum	
叩く	
トランペット-trumpet	
演奏	
漸と	
シェア-share	
洗う	
ボディー-body	
シャンプー-shampoo	
温める	
朝御飯	
フライド-fried	
砂糖	
スクランブル-scramble	
生卵	
コンビニエンス-convenience	
ストア-store	
コンビニ-convenience	
壊す	
サルモネラ-salmonella	
火	
通す	
くっく	
ホリ	
ワケーション	
31	
半分	
盆	
辺り	
日間	
ポスト-post（郵便）	
シンドローム-syndrome	
食後	
風習	
習慣	
正す	
金持ち	
小さな	
距離	
見える	
背	
人世	
スクエア-square	
メーター-meter	
エアコンディシナー	
オン-on	
クーラー-cooler	
冷え冷え	
留守	
具	
冷たい	
エコ-eco	
役	
危機	
上がる	
アスリート-athlete	
あれ	
インターナショナル-international	
祭り	
寿司	
んー	
酢	
笑う	
スト-strike	
レンジ-range	
トピカル-topical	
一人一人	
独学	
特	
軽い	
ジョギング-jogging	
運転	
範囲	
安全	
ドライブ-drive	
アンサー-answer	
出版	
社	
パブリッシャー	
例文	
文章	
身	
毎回	
順番	
おー	
吊る	
間違う	
怒る	
レペティション-repetition	
仕方	
記憶	
メモリー-memory	
デート-date	
当たり前	
レベル-level	
十分	
手伝い	
手伝う	
ディグリー-degree	
PhD	
病院	
ドクター-doctor	
職業	
ナース-nurse	
後ろ	
警察	
サーバント-servant	
区	
コンティペイ	
韓国語	
カンパニー-company	
ニックネーム-nickname	
通称	
OLOL	
レディー-lady	
ビルダー-builder	
フィッシャーマン-fisherman	
システム-system	
コンピューター-computer	
マーケティング-marketing	
セールス-sales	
元	
又々	
遣る気	
一昨	
精神	
メンタル-mental 	
ぽっ	
レコーディング-recording	
愛	
彼氏	
正直	
段々	
悲しい	
組む	
散歩	
瞬間	
コンクルージョン-conclusion	
尻	
話し掛ける	
ごーん	
心	
パターン-pattern	
マーク-mark	
年齢	
結婚	
テクノ-techno	
クラブ-club	
人数	
切っ掛け	
こんな	
じめじめ	
羨ましい	
打つ	
辞儀	
頭	
縦	
振る	
這う	
おお	
うー	
変える	
分ける	
向かう	
空間	
アクティング-acting	
演ずる	
減る	
トーン-tone	
声明	
屁	
出でる	
済む	
出す	
インポッシブル	
イン-in	
ポシブル-possible	
会議	
楽しむ	
頂く	
特別	
CM	
パトレオンパトレオン	
パトロン-patron	
個人	
スポンサードネーションドネーター	
既に	
多く	
ドネーション	
無料	
フリー-free	
コンテッペドットコン	
ホーム-home	
飛ぶ	
コンテッペパトレオン	
検索	
貰う	
通り	
有り難う	
鼠	
赤ちゃん	
パパママパパパパママママ	
家庭	
ファミリー-family	
